cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
sessionxsym=asia|FETUSDT,229,48.5,48.5,-0.0054,0.95,-1.2,48,inf,"[42.1,54.9]",49.7,6.70e-01,1.000,117,47.9,-0.022,N,112,49.1,0.012,N,-0.054,0.022,0.009,5,4.5,NO
hourbxsym=12-17|ETHUSDT,916,52.1,52.2,0.0132,1.13,12.1,61,0.26,"[48.8,55.3]",49.0,3.42e-02,0.296,538,53.0,0.014,N,378,50.8,0.012,N,0.02,0.016,0.004,7,3.9,NO
decbxside=D4-9|LONG,3107,49.0,49.0,0.0097,1.09,30.3,63,0.51,"[47.3,50.8]",46.9,9.34e-03,0.125,1442,47.3,0.007,N,1665,50.5,0.012,Y,0.022,-0.01,0.013,30,24.8,NO
sessionxsym=london|1000LUNCUSDT,98,48.0,48.0,-0.0172,0.85,-1.7,35,inf,"[38.3,57.7]",51.9,8.13e-01,1.000,49,44.9,-0.046,N,49,51.0,0.012,N,-0.075,0.016,0.0,4,3.2,NO
symxweekday=RENDERUSDT|4,58,50.0,50.0,0.0145,1.14,0.8,8,1.17,"[37.5,62.5]",46.8,3.60e-01,1.000,30,53.3,0.017,N,28,46.4,0.012,N,0.039,-0.006,0.001,4,1.0,NO
rvbxsprb=>=5|2-5bps,499,50.7,50.7,0.0096,1.09,4.8,48,0.42,"[46.3,55.1]",48.5,1.74e-01,0.765,179,49.7,0.005,N,320,51.2,0.012,N,-0.008,0.021,0.007,7,4.2,NO
stratxsym=nony_momentum|DOTUSDT,33,51.5,51.5,-0.0172,0.82,-0.6,20,inf,"[35.2,67.5]",56.3,7.69e-01,1.000,19,36.8,-0.039,N,14,71.4,0.012,N,0.004,-0.053,-0.012,4,1.8,NO
adxbxweekday=>=30|5,1261,51.4,51.4,0.0118,1.11,14.8,2,0.6,"[48.6,54.1]",48.7,3.13e-02,0.279,0,,,N,1261,51.4,0.012,Y,,,0.012,14,16.1,NO
regimexsym=bull|QNTUSDT,118,50.0,50.0,0.0221,1.19,2.6,16,0.69,"[41.1,58.9]",45.7,1.97e-01,0.802,24,50.0,0.063,N,94,50.0,0.012,N,0.037,0.141,0.012,4,2.4,NO
sidexsym=LONG|PUMPUSDT,154,51.9,51.9,0.0117,1.14,1.8,10,1.02,"[44.1,59.7]",48.7,2.32e-01,0.862,0,,,N,154,51.9,0.012,N,,,0.012,5,3.1,NO
decbxrvb=D10|>=5,1879,52.2,52.2,0.0123,1.11,23.1,56,0.29,"[49.9,54.4]",49.6,1.56e-02,0.183,960,50.3,0.013,N,919,54.1,0.012,N,0.018,0.015,0.007,12,15.4,NO
rvbxsym=>=5|XRPUSDT,158,51.9,51.9,-0.0036,0.97,-0.6,40,inf,"[44.2,59.6]",52.6,5.97e-01,1.000,77,53.2,-0.02,N,81,50.6,0.012,N,-0.033,0.001,0.016,3,3.7,NO
stratxweekdayxregime=london_burst_fade|3|neutral,59,57.6,57.6,0.0395,1.27,2.3,3,1.81,"[44.9,69.4]",51.6,2.15e-01,0.830,44,61.4,0.049,N,15,46.7,0.012,N,-0.114,0.162,0.012,4,3.5,NO
symxweekday=ETHUSDT|2,648,51.2,51.2,0.0101,1.1,6.6,9,0.76,"[47.4,55.1]",49.0,1.31e-01,0.682,409,51.6,0.009,N,239,50.6,0.012,N,0.011,0.018,0.004,6,5.5,NO
symxweekend=WLDUSDT|True,346,51.2,51.2,0.0018,1.02,0.6,18,2.83,"[45.9,56.4]",50.7,4.60e-01,1.000,193,49.2,-0.006,N,153,53.6,0.012,N,-0.005,0.02,0.0,7,3.0,NO
decbxhourb=D4-9|6-11,1437,50.0,50.0,0.0073,1.06,10.5,63,0.24,"[47.4,52.5]",48.5,1.37e-01,0.693,627,50.1,0.002,N,810,49.9,0.012,N,-0.003,0.01,0.012,6,6.6,NO
sidexsym=LONG|TRUMPUSDT,246,50.8,50.8,0.0116,1.14,2.8,10,0.94,"[44.6,57.0]",47.5,1.67e-01,0.758,0,,,N,246,50.8,0.012,N,,,0.012,11,3.4,NO
hourbxsym=0-5|CHZUSDT,113,46.9,46.9,0.0151,1.14,1.7,30,0.37,"[38.0,56.1]",43.6,2.70e-01,0.915,70,47.1,0.017,N,43,46.5,0.012,N,0.013,0.008,0.029,3,1.1,NO
adxbxsession=<20|late,240,41.7,41.7,-0.0537,0.6,-12.9,4,inf,"[35.6,48.0]",54.2,1.00e+00,1.000,214,40.7,-0.062,N,26,50.0,0.012,N,0.004,-0.058,,16,17.8,NO
adxbxsprb=<20|2-5bps,297,50.5,50.5,0.0001,1.0,0.0,11,68.91,"[44.8,56.1]",50.5,5.21e-01,1.000,135,49.6,-0.014,N,162,51.2,0.012,N,0.016,-0.001,-0.004,4,4.3,NO
stratxsidexregime=asia_burst_fade|LONG|bull,500,47.6,47.6,-0.0007,1.0,-0.3,16,inf,"[43.3,52.0]",47.7,5.35e-01,1.000,50,36.0,-0.11,N,450,48.9,0.012,N,-0.134,-0.026,0.012,15,31.6,NO
adxbxsym=>=30|LINKUSDT,112,55.4,55.4,0.0115,1.11,1.3,8,0.43,"[46.1,64.2]",52.7,3.17e-01,0.972,0,,,N,112,55.4,0.012,N,,,0.012,2,1.8,NO
sidexsym=LONG|1000PEPEUSDT,791,52.8,52.8,0.0136,1.13,10.8,62,0.4,"[49.4,56.3]",49.7,4.09e-02,0.334,424,50.7,0.015,N,367,55.3,0.012,N,0.023,0.001,0.013,13,6.5,NO
decbxsym=D4-9|QNTUSDT,127,48.0,48.0,0.0124,1.1,1.6,37,0.75,"[39.5,56.7]",45.6,3.24e-01,0.980,58,50.0,0.014,N,69,46.4,0.012,N,-0.033,0.083,-0.019,4,3.1,NO
sessionxsym=asia|BCHUSDT,30,53.3,53.3,0.0114,1.3,0.3,8,0.93,"[36.1,69.8]",46.8,2.96e-01,0.946,0,,,N,30,53.3,0.011,N,,,0.011,3,0.3,NO
stratxweekdayxregime=burst_follow|3|neutral,241,56.0,56.0,0.0234,1.45,5.6,3,0.46,"[49.7,62.1]",46.8,2.45e-03,0.046,177,57.1,0.028,Y,64,53.1,0.011,N,0.022,0.036,0.011,7,3.2,NO
stratxweekdayxregime=burst_follow|1|bull,491,55.2,55.2,0.0108,1.21,5.3,4,0.79,"[50.8,59.5]",50.5,2.01e-02,0.218,124,50.0,0.009,N,367,56.9,0.011,Y,-0.045,0.043,0.011,29,7.4,NO
symxv3=HYPEUSDT|True,60,48.3,48.3,0.0114,1.12,0.7,9,1.19,"[36.2,60.7]",45.5,3.74e-01,1.000,0,,,N,60,48.3,0.011,N,,,0.011,2,1.4,NO
regimexsym=bear|ETHUSDT,826,51.5,51.5,0.0055,1.05,4.5,21,0.79,"[48.0,54.8]",50.2,2.53e-01,0.894,591,51.8,0.003,N,235,50.6,0.011,N,0.006,-0.006,0.009,5,5.2,NO
symxweekday=ARBUSDT|4,105,49.5,49.5,0.0106,1.09,1.1,9,1.3,"[40.1,58.9]",47.3,3.60e-01,1.000,54,46.3,0.01,N,51,52.9,0.011,N,0.012,0.061,-0.02,4,2.1,NO
adxbxstrat=<20|burst_follow,387,48.8,48.8,-0.0173,0.76,-6.7,7,inf,"[43.9,53.8]",55.7,9.97e-01,1.000,265,46.8,-0.03,N,122,53.3,0.011,N,0.043,-0.042,0.018,11,13.0,NO
stratxregimexadxb=burst_follow|neutral|<20,387,48.8,48.8,-0.0173,0.76,-6.7,7,inf,"[43.9,53.8]",55.7,9.97e-01,1.000,265,46.8,-0.03,N,122,53.3,0.011,N,0.043,-0.042,0.018,11,13.0,NO
decbxside=D2-3|LONG,10823,51.9,51.9,0.0055,1.06,59.1,63,0.43,"[50.9,52.8]",50.4,1.12e-03,0.027,5335,49.7,-0.001,N,5488,54.0,0.011,Y,0.001,-0.006,0.014,46,46.0,NO
sessionxstrat=london|burst_follow,2057,52.7,52.7,0.0035,1.05,7.3,54,1.01,"[50.5,54.8]",51.4,1.19e-01,0.647,1007,50.1,-0.005,N,1050,55.1,0.011,Y,-0.009,0.01,0.011,17,11.1,NO
sessionxside=late|SHORT,1271,53.3,53.3,0.0256,1.31,32.6,61,0.35,"[50.6,56.1]",46.6,7.39e-07,0.000,599,54.1,0.042,Y,672,52.7,0.011,N,0.034,0.085,-0.01,21,18.7,NO
sessionxweekday=london|5,926,50.0,50.0,0.0114,1.11,10.5,9,0.38,"[46.8,53.2]",47.3,5.24e-02,0.392,409,50.6,0.011,N,517,49.5,0.011,N,0.014,0.011,0.01,5,3.4,NO
hourbxweekday=12-17|4,1194,53.0,53.0,0.0124,1.12,14.8,9,0.32,"[50.2,55.8]",50.1,2.52e-02,0.254,669,52.0,0.013,N,525,54.3,0.011,N,0.002,0.033,0.007,15,11.0,NO
stratxsym=setup_follow|NEARUSDT,183,51.9,51.9,0.0106,1.2,1.9,60,0.43,"[44.7,59.0]",47.4,1.24e-01,0.662,91,50.5,0.01,N,92,53.3,0.011,N,0.038,-0.037,0.047,10,3.2,NO
stratxweekdayxregime=setup_fade|4|bull,223,50.7,50.7,0.0049,1.03,1.1,3,7.28,"[44.2,57.2]",50.0,4.48e-01,1.000,11,36.4,-0.114,N,212,51.4,0.011,N,-0.114,,0.011,12,10.0,NO
symxv3=CHZUSDT|False,91,46.2,46.2,0.0086,1.1,0.8,16,0.98,"[36.3,56.3]",43.9,3.69e-01,1.000,72,47.2,0.008,N,19,42.1,0.011,N,0.019,-0.016,0.011,4,1.2,NO
decbxsym=D10|PENDLEUSDT,51,54.9,54.9,0.0073,1.08,0.4,19,2.45,"[41.4,67.7]",53.0,4.50e-01,1.000,25,56.0,0.004,N,26,53.8,0.011,N,0.005,0.032,-0.01,2,1.4,NO
adxbxsym=>=30|ENAUSDT,526,50.2,50.2,0.011,1.11,5.8,13,0.57,"[45.9,54.4]",47.6,1.26e-01,0.666,18,44.4,0.014,N,508,50.4,0.011,N,,0.007,0.011,6,5.1,NO
symxv3=APTUSDT|True,412,49.8,49.8,0.0268,1.24,11.0,61,0.14,"[45.0,54.6]",44.4,1.64e-02,0.189,206,49.5,0.043,Y,206,50.0,0.011,N,0.035,0.044,0.002,3,4.6,NO
regimexsession=neutral|london,3035,49.8,49.8,0.0069,1.06,20.8,34,0.39,"[48.0,51.6]",48.4,6.37e-02,0.443,2049,49.2,0.005,N,986,51.0,0.011,N,0.002,0.016,-0.002,10,15.5,NO
stratxsym=nony_momentum|TRUMPUSDT,40,55.0,55.0,0.0108,1.25,0.4,9,0.85,"[39.8,69.3]",49.4,2.90e-01,0.942,0,,,N,40,55.0,0.011,N,,,0.011,4,0.4,NO
stratxregimexrvb=setup_fade|bull|2-5,393,51.4,51.4,-0.0001,1.0,-0.0,20,inf,"[46.5,56.3]",51.4,5.23e-01,1.000,83,48.2,-0.041,N,310,52.3,0.011,N,-0.143,0.037,0.011,8,8.3,NO
symxweekday=FETUSDT|1,104,50.0,50.0,0.0322,1.35,3.3,9,0.48,"[40.6,59.4]",42.6,7.69e-02,0.493,60,53.3,0.048,N,44,45.5,0.011,N,0.048,0.041,0.008,4,0.9,NO
stratxweekdayxregime=london_burst_fade|2|bull,169,50.9,50.9,0.0566,1.44,9.6,5,0.8,"[43.4,58.3]",41.8,1.07e-02,0.137,81,53.1,0.107,Y,88,48.9,0.011,N,0.163,0.028,0.011,11,6.2,NO
adxbxhourb=<20|12-17,459,51.6,51.6,0.0132,1.14,6.1,7,0.68,"[47.1,56.2]",48.3,8.63e-02,0.530,217,52.5,0.016,N,242,50.8,0.011,N,0.002,0.025,-0.018,6,3.4,NO
adxbxsym=>=30|DOTUSDT,165,51.5,51.5,0.0133,1.11,2.2,13,0.65,"[43.9,59.0]",48.9,2.76e-01,0.928,8,50.0,0.066,N,157,51.6,0.011,N,,0.04,0.011,5,2.1,NO
sessionxside=ny|LONG,4545,53.0,53.1,0.0121,1.13,55.1,61,0.45,"[51.6,54.5]",50.0,1.66e-05,0.001,2041,51.5,0.014,Y,2504,54.3,0.011,Y,0.014,0.01,0.012,37,23.5,NO
symxweekday=ZECUSDT|4,318,51.9,51.9,0.0188,1.2,6.0,9,0.42,"[46.4,57.3]",47.3,5.82e-02,0.418,149,54.4,0.028,N,169,49.7,0.011,N,0.029,0.02,0.011,4,3.0,NO
symxweekday=ENAUSDT|3,181,50.3,50.3,0.0085,1.07,1.5,9,0.97,"[43.1,57.5]",48.6,3.56e-01,0.997,79,49.4,0.006,N,102,51.0,0.011,N,-0.026,0.049,0.017,6,3.3,NO
sessionxsym=ny|SOLUSDT,596,53.4,53.4,0.011,1.14,6.5,58,0.37,"[49.3,57.3]",50.2,6.37e-02,0.443,327,53.5,0.011,N,269,53.2,0.01,N,0.01,0.003,0.017,8,6.8,NO
stratxsym=setup_fade|FETUSDT,215,41.4,41.4,-0.0171,0.9,-3.7,59,inf,"[35.0,48.1]",43.9,7.94e-01,1.000,106,43.4,-0.045,N,109,39.4,0.01,N,-0.029,-0.01,-0.012,6,5.9,NO
regimexsym=neutral|WLDUSDT,584,49.0,49.0,-0.0097,0.92,-5.7,37,inf,"[44.9,53.0]",51.2,8.65e-01,1.000,396,47.7,-0.019,N,188,51.6,0.01,N,-0.022,0.012,-0.017,10,11.2,NO
stratxweekdayxhourb=london_burst_fade|4|12-17,142,57.0,57.0,0.0437,1.23,6.2,8,1.13,"[48.8,64.9]",51.9,1.26e-01,0.666,95,58.9,0.06,N,47,53.2,0.01,N,-0.022,0.199,-0.044,8,6.4,NO
side=LONG,16115,51.2,51.2,0.0065,1.07,104.0,63,0.34,"[50.4,52.0]",49.6,2.28e-05,0.001,7943,49.2,0.002,N,8172,53.1,0.01,Y,0.008,-0.006,0.012,88,53.0,NO
sidexvolb=LONG|hi>=0.40%,16115,51.2,51.2,0.0065,1.07,104.0,63,0.34,"[50.4,52.0]",49.6,2.28e-05,0.001,7943,49.2,0.002,N,8172,53.1,0.01,Y,0.008,-0.006,0.012,88,53.0,NO
adxbxsym=>=30|BCHUSDT,101,57.4,57.4,0.0103,1.12,1.0,8,1.06,"[47.7,66.6]",54.7,3.29e-01,0.985,0,,,N,101,57.4,0.01,N,,,0.01,3,2.5,NO
decbxsym=D2-3|APTUSDT,327,49.5,49.5,0.0164,1.17,5.4,59,0.2,"[44.2,54.9]",45.7,9.04e-02,0.549,168,50.0,0.022,N,159,49.1,0.01,N,0.03,0.019,0.002,4,4.1,NO
regimexsym=bull|DOGEUSDT,221,51.6,51.6,0.0102,1.1,2.3,8,0.83,"[45.0,58.1]",49.1,2.55e-01,0.900,0,,,N,221,51.6,0.01,N,,,0.01,4,3.7,NO
decbxregime=D4-9|bull,1853,50.7,50.7,0.009,1.08,16.7,22,0.32,"[48.5,53.0]",48.8,5.30e-02,0.394,348,50.0,0.004,N,1505,50.9,0.01,N,-0.018,0.028,0.01,8,8.0,NO
symxweekday=RENDERUSDT|0,54,44.4,44.4,0.0301,1.34,1.6,9,1.19,"[32.0,57.6]",37.4,1.75e-01,0.765,22,45.5,0.059,N,32,43.8,0.01,N,0.139,-0.011,0.004,5,0.9,NO
stratxsym=setup_fade|1000PEPEUSDT,194,50.5,50.5,0.0111,1.06,2.2,58,0.7,"[43.5,57.5]",49.1,3.77e-01,1.000,107,50.5,0.012,N,87,50.6,0.01,N,0.009,0.018,0.005,6,3.8,NO
adxbxweekday=20-30|1,1837,50.6,50.6,0.012,1.11,22.0,6,0.33,"[48.3,52.9]",47.9,1.22e-02,0.151,969,51.7,0.014,Y,868,49.3,0.01,N,0.016,0.012,0.011,7,7.0,NO
adxbxsym=<20|UNIUSDT,56,51.8,51.8,-0.0111,0.9,-0.6,8,inf,"[39.0,64.3]",54.5,7.09e-01,1.000,22,45.5,-0.044,N,34,55.9,0.01,N,-0.103,0.01,-0.01,3,1.6,NO
symxweekend=APTUSDT|False,426,50.9,50.9,0.0216,1.2,9.2,44,0.21,"[46.2,55.7]",46.5,3.55e-02,0.305,217,50.7,0.033,Y,209,51.2,0.01,N,0.024,0.044,0.002,4,5.5,NO
regimexsym=neutral|ARBUSDT,340,49.1,49.1,0.0118,1.11,4.0,35,0.36,"[43.8,54.4]",46.5,1.82e-01,0.783,240,49.2,0.012,N,100,49.0,0.01,N,0.009,0.023,-0.002,6,2.9,NO
hourbxsym=12-17|CHZUSDT,112,46.4,46.4,-0.0162,0.87,-1.8,33,inf,"[37.5,55.6]",49.9,7.97e-01,1.000,74,45.9,-0.03,N,38,47.4,0.01,N,-0.033,-0.005,-0.001,5,2.7,NO
stratxsym=setup_follow|UNIUSDT,196,51.0,51.0,0.0111,1.18,2.2,57,0.28,"[44.1,57.9]",46.9,1.37e-01,0.694,92,52.2,0.012,N,104,50.0,0.01,N,0.022,0.001,0.015,7,1.3,NO
stratxv3=late_fade|False,773,48.1,48.1,0.0117,1.23,9.0,53,0.98,"[44.6,51.6]",42.9,1.99e-03,0.039,338,48.8,0.014,Y,435,47.6,0.01,Y,0.007,0.017,0.012,22,7.5,NO
hourbxsym=0-5|1000PEPEUSDT,384,50.3,50.3,-0.0055,0.95,-2.1,52,inf,"[45.3,55.2]",51.5,7.04e-01,1.000,193,47.2,-0.021,N,191,53.4,0.01,N,-0.028,-0.004,0.008,4,5.2,NO
decbxstrat=D2-3|ny_flush_buy_4h,521,53.0,53.0,0.0278,1.22,14.5,48,0.38,"[48.7,57.2]",48.1,1.45e-02,0.176,218,51.4,0.053,Y,303,54.1,0.01,N,0.037,0.031,0.023,11,7.8,NO
rvbxsession=>=5|asia,1034,48.6,48.6,-0.0019,0.98,-1.9,52,inf,"[45.6,51.7]",49.0,6.10e-01,1.000,507,45.6,-0.014,N,527,51.6,0.01,N,-0.015,-0.007,0.008,13,10.6,NO
stratxweekdayxhourb=setup_fade|3|18-23,183,48.1,48.1,-0.0047,0.97,-0.9,9,inf,"[41.0,55.3]",48.8,6.06e-01,1.000,105,47.6,-0.016,N,78,48.7,0.01,N,-0.048,0.066,-0.052,5,6.2,NO
symxv3=TAOUSDT|False,302,52.6,52.6,0.0105,1.11,3.2,44,0.33,"[47.0,58.2]",50.0,1.99e-01,0.805,158,53.2,0.011,N,144,52.1,0.01,N,0.015,0.025,0.001,5,2.6,NO
sessionxweekday=london|2,1188,50.1,50.1,0.0227,1.21,27.0,9,0.44,"[47.2,52.9]",45.3,5.02e-04,0.016,660,50.2,0.033,Y,528,50.0,0.01,N,0.038,0.015,0.01,9,6.3,NO
decbxv3=D4-9|True,3730,50.3,50.3,0.0058,1.04,21.6,63,0.32,"[48.7,51.9]",49.2,9.58e-02,0.568,1693,49.6,0.001,N,2037,50.8,0.01,Y,-0.006,0.009,0.012,6,16.6,NO
decbxweekend=D4-9|False,4018,50.7,50.7,0.0097,1.08,39.2,45,0.15,"[49.2,52.3]",48.8,7.36e-03,0.103,2035,50.1,0.01,N,1983,51.4,0.01,Y,0.004,0.016,0.01,9,9.3,NO
rvbxsprb=>=5|<2bps,1554,52.6,52.6,0.0048,1.04,7.5,48,0.83,"[50.1,55.0]",51.6,2.31e-01,0.862,525,49.5,-0.005,N,1029,54.1,0.01,N,0.001,-0.001,0.009,14,14.2,NO
sidexsym=LONG|DOGEUSDT,148,51.4,51.4,0.0097,1.12,1.4,9,2.34,"[43.4,59.3]",48.5,2.71e-01,0.918,0,,,N,148,51.4,0.01,N,,,0.01,10,3.0,NO
rvbxsym=<2|AAVEUSDT,112,58.0,58.0,0.0097,1.09,1.1,10,1.35,"[48.8,66.8]",55.8,3.55e-01,0.996,0,,,N,112,58.0,0.01,N,,,0.01,3,2.0,NO
sessionxsym=late|ZECUSDT,192,52.6,52.6,0.0093,1.13,1.8,37,0.38,"[45.6,59.5]",49.6,2.27e-01,0.853,102,51.0,0.009,N,90,54.4,0.01,N,0.017,-0.012,0.015,4,1.7,NO
adxbxhourb=<20|6-11,343,50.1,50.1,0.018,1.2,6.2,8,0.54,"[44.9,55.4]",45.6,5.20e-02,0.392,138,50.0,0.031,Y,205,50.2,0.009,N,0.039,0.025,-0.009,5,2.0,NO
regimexsym=bull|PENDLEUSDT,118,54.2,54.2,-0.008,0.93,-0.9,17,inf,"[45.3,63.0]",55.9,6.78e-01,1.000,37,54.1,-0.046,N,81,54.3,0.009,N,-0.024,-0.059,0.009,3,2.6,NO
symxv3=1000PEPEUSDT|True,424,50.5,50.5,0.0051,1.04,2.2,58,1.46,"[45.7,55.2]",49.6,3.73e-01,1.000,233,49.4,0.002,N,191,51.8,0.009,N,0.009,0.0,0.007,4,4.6,NO
decbxsym=D2-3|BCHUSDT,68,55.9,55.9,0.0094,1.12,0.6,10,1.33,"[44.1,67.1]",53.1,3.67e-01,1.000,0,,,N,68,55.9,0.009,N,,,0.009,2,1.9,NO
hourbxstrat=12-17|ny_flush_buy_4h,470,53.8,53.8,0.0264,1.23,12.4,51,0.46,"[49.3,58.3]",48.7,1.53e-02,0.182,195,54.4,0.051,Y,275,53.5,0.009,N,0.047,0.039,0.013,25,11.7,NO
decbxweekday=D10|4,557,51.7,51.7,0.0149,1.13,8.3,9,0.41,"[47.6,55.8]",48.7,8.23e-02,0.510,317,50.2,0.019,N,240,53.8,0.009,N,0.022,0.031,-0.004,7,6.1,NO
symxweekday=1000PEPEUSDT|4,235,49.8,49.8,0.0081,1.07,1.9,9,1.19,"[43.4,56.1]",48.2,3.33e-01,0.988,123,48.8,0.007,N,112,50.9,0.009,N,0.018,0.013,-0.001,4,2.4,NO
hourbxsym=0-5|DOGEUSDT,57,49.1,49.1,0.0091,1.09,0.5,8,1.3,"[36.6,61.7]",47.0,4.22e-01,1.000,0,,,N,57,49.1,0.009,N,,,0.009,3,2.2,NO
sym=TAOUSDT,704,50.9,50.9,0.0083,1.08,5.8,62,0.48,"[47.2,54.5]",49.0,1.74e-01,0.765,335,51.3,0.007,N,369,50.4,0.009,N,0.009,0.028,-0.003,5,6.3,NO
symxvolb=TAOUSDT|hi>=0.40%,704,50.9,50.9,0.0083,1.08,5.8,62,0.48,"[47.2,54.5]",49.0,1.74e-01,0.765,335,51.3,0.007,N,369,50.4,0.009,N,0.009,0.028,-0.003,5,6.3,NO
stratxsym=setup_follow|RENDERUSDT,169,43.8,43.8,-0.0055,0.92,-0.9,59,inf,"[36.5,51.3]",45.8,7.23e-01,1.000,83,41.0,-0.02,N,86,46.5,0.009,N,-0.015,-0.051,0.033,7,3.1,NO
hourbxsym=6-11|UNIUSDT,191,48.2,48.2,-0.0018,0.99,-0.3,38,inf,"[41.2,55.2]",48.5,5.65e-01,1.000,89,48.3,-0.014,N,102,48.0,0.009,N,0.0,-0.009,0.001,4,5.7,NO
sidexv3=LONG|False,10406,52.8,52.8,0.0072,1.08,75.2,60,0.33,"[51.8,53.8]",50.9,6.40e-05,0.003,5261,50.7,0.006,Y,5145,54.9,0.009,Y,0.011,-0.009,0.01,87,49.3,NO
decbxsession=D10|asia,1317,50.1,50.1,-0.0022,0.98,-2.9,60,inf,"[47.4,52.8]",50.5,6.28e-01,1.000,715,48.7,-0.012,N,602,51.8,0.009,N,-0.016,0.004,0.007,12,15.3,NO
sidexsym=LONG|ENAUSDT,685,50.5,50.5,0.017,1.18,11.7,61,0.22,"[46.8,54.2]",46.5,1.90e-02,0.210,282,48.6,0.029,Y,403,51.9,0.009,N,0.039,-0.024,0.022,10,6.7,NO
symxweekday=SOLUSDT|2,398,51.8,51.8,0.0169,1.16,6.7,9,0.78,"[46.9,56.6]",48.0,7.47e-02,0.485,278,51.1,0.02,N,120,53.3,0.009,N,0.017,0.026,0.008,7,3.5,NO
symxweekday=ETHUSDT|1,601,51.2,51.2,0.0101,1.1,6.1,9,0.61,"[47.3,55.2]",48.9,1.30e-01,0.677,401,51.4,0.011,N,200,51.0,0.009,N,0.013,0.013,0.004,5,4.1,NO
sessionxsym=asia|NMRUSDT,118,50.8,50.8,0.0357,1.31,4.2,34,0.31,"[41.9,59.7]",44.1,8.34e-02,0.516,63,50.8,0.059,N,55,50.9,0.009,N,0.051,0.012,0.033,3,1.9,NO
rvbxweekend=>=5|False,2122,51.6,51.6,0.0093,1.08,19.8,40,0.27,"[49.5,53.8]",49.7,3.87e-02,0.322,1122,50.8,0.01,N,1000,52.6,0.009,N,0.017,0.007,0.005,17,11.4,NO
symxweekend=DOGEUSDT|False,159,50.9,50.9,0.0087,1.08,1.4,6,1.35,"[43.2,58.6]",49.0,3.41e-01,0.992,0,,,N,159,50.9,0.009,N,,,0.009,4,3.7,NO
regimexsym=neutral|ETHUSDT,1782,51.6,51.6,-0.0004,1.0,-0.7,38,inf,"[49.3,53.9]",51.7,5.40e-01,1.000,1225,52.0,-0.005,N,557,50.6,0.009,N,-0.011,0.008,0.006,7,11.3,NO
decbxregime=D10|bear,694,55.2,55.2,0.0113,1.09,7.9,21,0.32,"[51.5,58.8]",53.0,1.34e-01,0.691,448,54.5,0.013,N,246,56.5,0.009,N,0.012,0.026,0.003,6,10.2,NO
stratxweekdayxhourb=setup_follow|6|0-5,177,47.5,47.5,-0.0111,0.84,-2.0,9,inf,"[40.2,54.8]",51.9,8.97e-01,1.000,68,44.1,-0.043,N,109,49.5,0.009,N,-0.06,0.002,0.01,12,3.7,NO
stratxsym=setup_fade|BNBUSDT,186,52.7,52.7,-0.0179,0.9,-3.3,52,inf,"[45.5,59.7]",55.2,7.79e-01,1.000,104,52.9,-0.039,N,82,52.4,0.008,N,-0.1,0.015,0.035,4,7.5,NO
symxv3=TAOUSDT|True,402,49.5,49.5,0.0065,1.06,2.6,58,1.06,"[44.6,54.4]",48.1,3.10e-01,0.969,177,49.7,0.004,N,225,49.3,0.008,N,0.001,0.029,-0.007,4,4.7,NO
sessionxsym=late|ETHUSDT,365,51.0,51.0,-0.0053,0.94,-1.9,53,inf,"[45.8,56.1]",52.6,7.52e-01,1.000,204,50.0,-0.016,N,161,52.2,0.008,N,-0.012,-0.015,0.007,5,5.2,NO
rvbxstrat=>=5|asia_pump_short_4h,59,57.6,57.6,0.063,1.41,3.7,28,0.45,"[44.9,69.4]",49.1,1.20e-01,0.649,30,56.7,0.116,Y,29,58.6,0.008,N,0.113,0.103,0.008,4,3.6,NO
stratxweekdayxregime=setup_fade|5|bull,206,51.5,51.5,0.0084,1.05,1.7,2,3.11,"[44.7,58.2]",50.3,4.01e-01,1.000,0,,,N,206,51.5,0.008,N,,,0.008,8,14.1,NO
symxweekend=ETHUSDT|False,3058,51.6,51.6,0.0062,1.06,18.9,45,0.29,"[49.8,53.3]",50.2,6.33e-02,0.443,1860,52.2,0.005,N,1198,50.7,0.008,N,0.007,0.009,0.004,6,9.6,NO
symxweekday=ADAUSDT|6,154,51.9,51.9,0.0016,1.02,0.2,9,6.24,"[44.1,59.7]",51.5,4.90e-01,1.000,70,50.0,-0.007,N,84,53.6,0.008,N,-0.006,0.061,-0.019,5,2.7,NO
adxbxdecb=>=30|D10,909,52.1,52.1,0.0092,1.08,8.4,14,0.95,"[48.9,55.4]",50.2,1.33e-01,0.688,35,42.9,0.03,N,874,52.5,0.008,N,,0.003,0.009,12,9.2,NO
strat=fade_3h_london,103,47.6,47.6,0.0987,1.69,10.2,19,0.47,"[38.2,57.1]",35.0,5.69e-03,0.087,82,47.6,0.122,Y,21,47.6,0.008,N,0.122,,0.008,9,2.8,NO
sessionxstrat=london|fade_3h_london,103,47.6,47.6,0.0987,1.69,10.2,19,0.47,"[38.2,57.1]",35.0,5.69e-03,0.087,82,47.6,0.122,Y,21,47.6,0.008,N,0.122,,0.008,9,2.8,NO
